,Low,High,Open,Close,Volume_BTC,,,,,,
1.70408E+12,42484.3,42495.44,42481.21,42486,6.94802,1.70408E+12,295212.9632,527,3.15216,133936.2518,0
1.70408E+12,42487.35,42502.2,42485.12,42492.64,11.50625,1.70408E+12,488948.2212,683,6.93176,294562.1386,0
1.70408E+12,42492.63,42493.28,42469.63,42474.66,9.89505,1.70408E+12,420320.5462,652,2.45395,104242.5375,0
1.70408E+12,42475.38,42485.78,42468.13,42474.97,8.21416,1.70408E+12,348901.5171,566,4.3495,184757.5351,0
1.70408E+12,42474.11,42479.26,42461.96,42470,12.43465,1.70408E+12,528090.0728,694,6.56367,278768.7939,0
1.70408E+12,42471.39,42479.34,42454.01,42470.65,18.13819,1.70408E+12,770277.2012,887,7.21738,306515.1231,0
1.70408E+12,42470.79,42500,42464.73,42491.16,22.74456,1.70408E+12,966238.4443,1572,13.50255,573627.321,0
1.70408E+12,42491.58,42491.99,42458.69,42483.59,30.37239,1.70408E+12,1289991.471,2224,16.81227,714064.6212,0
1.70408E+12,42484.11,42485.56,42463.8,42467.06,8.71689,1.70408E+12,370243.6934,666,3.50052,148682.3112,0
1.70408E+12,42469.36,42472.15,42446.17,42455.97,17.3334,1.70408E+12,735916.3074,1060,7.04966,299325.8937,0
1.70408E+12,42457.02,42458.27,42448.32,42452.04,4.63575,1.70408E+12,196800.7559,387,1.77654,75424.38786,0
1.70408E+12,42452.04,42459.09,42436.36,42456.82,16.31192,1.70408E+12,692350.4574,894,10.70776,454489.7199,0
1.70408E+12,42458,42476.58,42446,42471.97,14.31415,1.70408E+12,607792.5152,962,7.25476,308058.228,0
1.70408E+12,42471.98,42471.98,42455.71,42465.88,10.62074,1.70408E+12,450999.6125,652,5.58973,237367.1185,0
1.70408E+12,42465.88,42465.88,42432.39,42434.26,23.96577,1.70408E+12,1017299.644,1148,9.77859,415096.7454,0
1.70408E+12,42434.26,42443.56,42415.19,42433.01,17.10517,1.70408E+12,725755.5969,1116,6.42416,272589.647,0
1.70408E+12,42430.36,42435.22,42402.31,42410.96,15.48521,1.70408E+12,656832.4659,1284,9.62259,408159.5746,0
1.70408E+12,42410.96,42411.46,42390.31,42398.12,22.01835,1.70408E+12,933608.7379,1507,10.12899,429501.7321,0
1.70408E+12,42400.33,42403.04,42371.25,42377.46,29.01623,1.70408E+12,1229834.513,1409,11.55569,489799.5712,0
